fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg
Bob Schrijber,"6' 0""",240 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nate Schroeder,"6' 1""",230 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Lacey Schuckman,"5' 3""",125 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Mark Schultz,"5' 9""",200 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brian Schwartz,"6' 3""",170 lbs.,,Orthodox,,1.27,44%,0.87,45%,0.00,0%,50%,1.0
Eric Schwartz,,205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Justin Scoggins,"5' 7""",125 lbs.,"66""",Southpaw,"May 02, 1992",3.56,51%,2.16,55%,3.42,63%,82%,0.5
Pat Schilling,"5' 8""",145 lbs.,,Orthodox,"Aug 28, 1988",1.87,26%,8.24,52%,0.00,0%,0%,0.0
Brad Scott,"6' 1""",170 lbs.,"76""",Orthodox,"Jun 24, 1989",3.52,41%,4.31,57%,0.32,15%,63%,0.7
Mike Seal,"6' 4""",185 lbs.,,Orthodox,,5.50,68%,3.33,50%,0.00,0%,33%,0.0
Greg Scott,"5' 9""",145 lbs.,,,,3.90,55%,7.79,37%,11.69,100%,0%,0.0
Kenneth Seegrist,"6' 0""",185 lbs.,,Orthodox,,3.21,66%,1.28,0%,0.00,0%,40%,14.4
Rony Sefo,"5' 9""",225 lbs.,,Orthodox,,0.00,0%,0.43,0%,0.00,0%,0%,0.0
Matt Secor,"6' 0""",170 lbs.,,,"Sep 26, 1986",0.51,20%,0.81,50%,3.03,100%,0%,3.0
Neil Seery,"5' 4""",125 lbs.,"64""",Orthodox,"Aug 30, 1979",3.56,41%,3.79,58%,0.78,27%,53%,1.6
Ray Sefo,"6' 0""",240 lbs.,,Orthodox,"Feb 15, 1971",0.86,31%,1.71,72%,0.00,0%,66%,0.0
Brendan Seguin,"6' 0""",185 lbs.,,,"Jul 03, 1976",2.60,45%,0.60,84%,5.00,62%,100%,0.0
Stefan Sekulic,"6' 0""",170 lbs.,"75""",Southpaw,"Feb 12, 1992",1.47,37%,2.40,57%,1.00,20%,33%,0.0
Pete Sell,"5' 11""",170 lbs.,"75""",Orthodox,"Aug 05, 1982",2.60,42%,3.65,51%,0.91,21%,47%,0.9
Andrei Semenov,"6' 0""",185 lbs.,,Orthodox,"Jun 17, 1977",0.78,15%,2.44,60%,1.74,80%,55%,0.4
Brandon Sene,"5' 11""",205 lbs.,,,"May 21, 1981",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Matthew Semelsberger,"6' 1""",170 lbs.,"75""",Switch,"Nov 23, 1992",7.93,50%,5.31,56%,1.97,100%,100%,1.0
Kim In Seok,"5' 6""",145 lbs.,,Orthodox,,0.87,37%,5.19,60%,0.00,0%,0%,0.0
Mackens Semerzier,"5' 9""",145 lbs.,"72""",Orthodox,"Nov 03, 1980",2.91,45%,3.48,46%,2.14,50%,50%,2.1
Ray Seraille,"6' 3""",246 lbs.,,,,5.29,27%,17.65,41%,0.00,0%,0%,0.0
Alex Serdyukov,"6' 2""",170 lbs.,"74""",Orthodox,"May 24, 1980",4.94,48%,3.10,46%,1.84,55%,67%,1.8
Ivan Serati,"6' 0""",205 lbs.,,Orthodox,,0.86,26%,5.33,29%,0.00,0%,0%,0.0
Nicholas Sergiacomi,,170 lbs.,,,,4.38,55%,3.94,59%,0.00,0%,0%,0.0
Adrian Serrano,"5' 8""",170 lbs.,,,"Dec 23, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Nick Serra,"5' 9""",170 lbs.,,Orthodox,"Mar 27, 1978",0.00,0%,1.73,43%,1.00,10%,0%,2.0
Fredy Serrano,"5' 3""",125 lbs.,"65""",Orthodox,"Sep 22, 1979",1.58,26%,1.89,61%,2.84,25%,84%,0.0
Carl Seumanutafa,"6' 1""",255 lbs.,,Orthodox,,0.00,0%,3.33,75%,0.00,0%,0%,0.0
Matt Serra,"5' 6""",170 lbs.,"68""",Orthodox,"Jun 02, 1974",1.98,39%,2.64,46%,2.05,20%,38%,0.9
Scott Shaffer,"5' 7""",145 lbs.,,Orthodox,,2.40,67%,0.53,50%,0.00,0%,72%,3.0
Dan Severn,"6' 2""",250 lbs.,,Southpaw,"Jun 08, 1958",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Rosi Sexton,"5' 3""",135 lbs.,,Orthodox,"Jul 16, 1977",3.31,39%,7.42,41%,0.75,10%,80%,0.0
Leon Shahbazyan,"6' 4""",170 lbs.,"74""",Orthodox,"Nov 18, 1995",6.33,52%,8.18,32%,1.46,50%,0%,0.0
Edmen Shahbazyan,"6' 2""",185 lbs.,"74""",Orthodox,"Nov 20, 1997",3.85,51%,4.31,49%,4.44,40%,58%,0.5
Liliya Shakirova,"5' 4""",125 lbs.,"65""",Orthodox,"Oct 24, 1991",2.70,30%,2.58,74%,0.00,0%,0%,0.0
Kamal Shalorus,"5' 8""",155 lbs.,"68""",Orthodox,"Aug 27, 1972",3.06,32%,2.99,70%,2.07,50%,80%,0.0
Ken Shamrock,"6' 1""",205 lbs.,"72""",Orthodox,"Feb 11, 1964",1.47,46%,4.30,39%,0.94,60%,44%,2.5
Frank Shamrock,"5' 10""",185 lbs.,,Orthodox,"Dec 08, 1972",4.75,53%,4.66,57%,0.35,50%,37%,1.1
Eric Shelton,"5' 6""",125 lbs.,"68""",Orthodox,"Feb 02, 1991",2.57,42%,1.88,63%,2.83,51%,46%,0.2
Jason Sharp,,205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chase Sherman,"6' 4""",250 lbs.,"78""",Orthodox,"Nov 16, 1989",6.02,45%,5.55,52%,0.00,0%,77%,0.0
Sean Sherk,"5' 6""",155 lbs.,"67""",Orthodox,"Aug 05, 1973",2.17,35%,2.71,55%,4.09,46%,56%,0.4
Antonina Shevchenko,"5' 8""",125 lbs.,"67""",Southpaw,"Nov 20, 1984",4.09,56%,2.51,54%,0.65,60%,56%,0.7
Henrique Shiguemoto,"5' 11""",185 lbs.,"72""",Orthodox,"Jun 22, 1989",3.60,33%,6.00,16%,0.00,0%,50%,0.0
Valentina Shevchenko,"5' 5""",125 lbs.,"66""",Southpaw,"Mar 07, 1988",2.98,50%,2.03,62%,2.21,58%,75%,0.3
Shunichi Shimizu,"5' 5""",135 lbs.,,Orthodox,"Jan 31, 1985",0.14,33%,4.68,30%,0.00,0%,0%,0.0
Jake Shields,"6' 0""",170 lbs.,"72""",Orthodox,"Jan 09, 1979",2.45,36%,1.80,56%,2.83,29%,35%,1.2
Wade Shipp,"6' 3""",245 lbs.,,Orthodox,"Feb 09, 1975",4.29,86%,2.14,0%,0.00,0%,75%,0.0
Raja Shippen,"5' 6""",145 lbs.,,,"Oct 07, 1986",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yuya Shirai,"5' 8""",168 lbs.,,Orthodox,"Apr 02, 1980",1.02,100%,4.07,55%,0.00,0%,0%,0.0
Wes Shivers,"6' 8""",,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Alexander Shlemenko,"5' 11""",185 lbs.,,,"May 20, 1984",4.36,60%,1.71,63%,0.00,0%,0%,0.0
Josh Shockley,"6' 1""",155 lbs.,,Orthodox,"Nov 15, 1989",1.40,33%,1.75,60%,0.00,0%,61%,0.8
Josh Shockman,"6' 4""",235 lbs.,,Southpaw,"Dec 29, 1980",0.87,32%,0.87,58%,0.00,0%,23%,0.0
Jack Shore,"5' 8""",135 lbs.,"71""",Orthodox,"Feb 06, 1995",3.69,54%,0.59,76%,5.16,46%,0%,1.5
Akira Shoji,"5' 8""",195 lbs.,,Orthodox,"Jan 31, 1974",1.03,34%,2.63,53%,1.79,73%,82%,0.4
Landon Showalter,"6' 0""",185 lbs.,,,"Jun 14, 1976",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Katsuyori Shibata,"6' 0""",168 lbs.,,Orthodox,"Nov 17, 1979",2.06,35%,2.40,53%,0.49,50%,53%,0.7
Brandon Shuey,"5' 7""",155 lbs.,,Orthodox,"Feb 01, 1976",0.68,33%,1.36,0%,0.00,0%,0%,10.2
Ivan Shtyrkov,"6' 0""",205 lbs.,"74""",Orthodox,"Jun 09, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kiril Sidelnikov,"5' 11""",230 lbs.,,,"Aug 17, 1988",2.87,28%,4.48,61%,0.00,0%,0%,0.0
Sam Sicilia,"5' 8""",145 lbs.,"67""",Orthodox,"Feb 01, 1986",2.46,33%,3.55,59%,1.45,43%,70%,0.9
Steven Siler,"5' 11""",145 lbs.,"70""",Orthodox,"Feb 15, 1987",3.21,41%,2.96,54%,0.47,21%,55%,1.6
Siala Siliga,"6' 1""",290 lbs.,,Orthodox,"Oct 08, 1970",1.08,26%,1.96,50%,1.47,50%,80%,0.0
Assuerio Silva,"5' 10""",241 lbs.,,Orthodox,"Jun 18, 1974",1.42,46%,4.20,54%,2.66,34%,25%,1.8
Xavier Siller,"5' 5""",125 lbs.,,,"Jun 06, 1994",1.02,36%,1.53,57%,3.83,100%,0%,0.0
Thiago Silva,"6' 2""",205 lbs.,"74""",Orthodox,"Nov 12, 1982",3.92,50%,2.55,67%,1.03,47%,70%,0.7
Jean Silva,"5' 6""",160 lbs.,,Orthodox,"Oct 08, 1977",0.73,22%,2.93,52%,0.00,0%,0%,0.0
Paulo Cesar Silva,"7' 5""",385 lbs.,,Orthodox,"Jul 21, 1963",0.40,15%,2.72,47%,0.42,100%,16%,0.4
Edson Silva,,205 lbs.,,Orthodox,,2.69,14%,5.37,50%,0.00,0%,0%,0.0
Anderson Silva,"6' 2""",185 lbs.,"77""",Southpaw,"Apr 14, 1975",3.05,61%,2.05,60%,0.50,77%,69%,0.8
Wanderlei Silva,"5' 11""",205 lbs.,"74""",Orthodox,"Jul 03, 1976",2.79,40%,2.19,60%,0.97,53%,62%,0.6
Sidney Silva,"6' 3""",170 lbs.,,Southpaw,"Feb 27, 1972",2.86,65%,3.30,34%,3.30,100%,0%,0.0
Jay Silva,"6' 2""",185 lbs.,,Southpaw,,1.13,34%,3.07,40%,0.00,0%,38%,1.0
Fabio Silva,"5' 11""",205 lbs.,,Orthodox,"Mar 31, 1982",0.09,11%,5.90,38%,0.00,0%,0%,0.0
Leandro Silva,"5' 9""",155 lbs.,"72""",Orthodox,"Nov 11, 1985",2.39,48%,2.08,63%,1.76,37%,65%,0.4
Claudio Silva,"5' 11""",170 lbs.,"71""",Southpaw,"Sep 06, 1982",3.14,42%,3.12,43%,3.01,28%,66%,1.6
Wagner Silva,"6' 0""",170 lbs.,,Orthodox,"Feb 07, 1987",1.69,29%,2.87,65%,0.00,0%,58%,0.0
Antonio Silva,"6' 4""",264 lbs.,"82""",Orthodox,"Sep 14, 1979",2.89,45%,3.09,50%,0.82,29%,66%,0.8
Erick Silva,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 21, 1984",2.50,48%,4.18,49%,0.85,35%,56%,1.4
Rafael Silva,"5' 7""",135 lbs.,,,"Mar 20, 1985",0.67,50%,0.73,67%,0.00,0%,25%,1.0
Joaquim Silva,"5' 8""",155 lbs.,"69""",Southpaw,"Feb 05, 1989",3.92,37%,4.43,56%,0.24,50%,64%,0.7
Felipe Silva,"6' 0""",155 lbs.,"77""",Orthodox,"May 08, 1984",5.40,50%,1.80,59%,1.00,100%,71%,0.0
Dayana Silva,"5' 7""",135 lbs.,,Orthodox,"Aug 27, 1990",6.33,51%,5.93,57%,0.00,0%,42%,0.0
Jacob Silva,"5' 5""",125 lbs.,"67""",Orthodox,"Feb 23, 1988",4.17,44%,4.92,56%,1.51,100%,66%,0.0
Gabriel Silva,"5' 6""",135 lbs.,"71""",Orthodox,"Aug 26, 1994",1.30,34%,3.47,45%,1.50,25%,38%,0.5
Bruno Silva,"6' 0""",185 lbs.,,,"Jul 13, 1989",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Natalia Silva,"5' 4""",125 lbs.,,,"Feb 03, 1997",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Douglas Silva de Andrade,"5' 7""",145 lbs.,"68""",Orthodox,"Jun 22, 1985",3.77,38%,4.26,58%,0.70,50%,66%,0.0
Leonardo Silva de Oliveira,"6' 2""",185 lbs.,,Orthodox,"Apr 23, 1992",1.07,40%,0.54,50%,24.11,50%,0%,0.0
Marcus Silveira,"6' 3""",242 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jamey Simmons,"5' 6""",145 lbs.,"70""",Orthodox,"Sep 11, 1992",0.52,50%,2.08,50%,0.00,0%,100%,0.0
Elias Silverio,"5' 11""",155 lbs.,"73""",Orthodox,"Sep 22, 1986",3.67,49%,2.97,51%,1.62,38%,85%,0.2
Aaron Simpson,"6' 0""",170 lbs.,"73""",Orthodox,"Jul 20, 1974",3.60,52%,2.53,56%,3.78,34%,83%,0.5
Ricky Simon,"5' 6""",135 lbs.,"69""",Orthodox,"Aug 31, 1992",3.08,42%,3.13,64%,6.93,54%,72%,0.4
Wes Sims,"6' 10""",260 lbs.,,Orthodox,"Aug 04, 1979",0.98,51%,2.95,37%,0.00,0%,40%,2.3
Marlon Sims,,170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Tony Sims,"5' 11""",155 lbs.,"70""",Southpaw,"Oct 14, 1985",1.81,63%,0.76,65%,0.71,50%,50%,0.7
Lodune Sincaid,"5' 9""",185 lbs.,,Orthodox,"May 07, 1973",2.72,42%,6.17,57%,0.00,0%,75%,0.0
Everett Sims,"6' 5""",260 lbs.,"77""",Southpaw,"Sep 04, 1988",0.81,66%,2.19,30%,0.00,0%,42%,1.2
Rob Sinclair,"5' 8""",155 lbs.,,,"Feb 20, 1980",1.20,33%,1.73,73%,0.00,0%,50%,0.0
Elvis Sinosic,"6' 3""",205 lbs.,"77""",Orthodox,"Feb 13, 1971",1.13,37%,4.60,53%,0.00,0%,0%,1.2
Mitchell Sipe,"6' 2""",245 lbs.,,Orthodox,"Apr 09, 1996",5.50,56%,9.98,46%,1.53,20%,0%,0.0
Rory Singer,"6' 2""",185 lbs.,"77""",Orthodox,"May 28, 1976",2.55,39%,2.42,63%,0.39,25%,64%,0.8
AJ Siscoe,"5' 7""",135 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Yokthai Sithoar,"5' 7""",143 lbs.,,,"Dec 25, 1974",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jeri Sitzes,"5' 5""",125 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dennis Siver,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 13, 1979",3.87,32%,2.67,65%,0.87,32%,65%,0.3
Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,"May 11, 1985",2.02,40%,3.35,48%,1.71,34%,33%,2.4
Matt Skelton,"6' 3""",265 lbs.,,Orthodox,"Jan 23, 1967",0.00,0%,0.54,0%,0.00,0%,66%,0.0
Zach Skinner,"5' 6""",145 lbs.,,Orthodox,,0.53,50%,2.40,32%,5.00,27%,100%,1.0
Joe Slick,"6' 0""",199 lbs.,,Orthodox,"Oct 17, 1977",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Patrick Smith,"6' 2""",225 lbs.,,Orthodox,"Aug 28, 1963",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Kestutis Smirnovas,"5' 10""",200 lbs.,,Orthodox,,4.95,52%,5.05,54%,1.55,50%,100%,1.6
Maurice Smith,"6' 2""",221 lbs.,,Orthodox,"Dec 13, 1961",0.41,46%,0.47,60%,0.89,50%,20%,0.9
Scott Smith,"6' 0""",185 lbs.,"70""",Orthodox,"May 21, 1979",1.90,27%,5.87,50%,0.12,6%,58%,0.5
Eric Smith,,,,Southpaw,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Josh Smith,"6' 0""",155 lbs.,,Orthodox,"Jul 02, 1982",0.73,28%,1.40,54%,0.00,0%,57%,2.0
Adam Smith,,,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Dillon Smith,"6' 0""",170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
David Smith,,155 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Brian Sleeman,"5' 8""",185 lbs.,,,,4.00,48%,1.85,70%,9.23,100%,100%,0.0
Trevor Smith,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 05, 1981",3.29,55%,3.31,51%,1.70,32%,60%,0.7
Anthony Smith,"6' 4""",205 lbs.,"76""",Orthodox,"Jul 26, 1988",2.94,46%,4.38,42%,0.49,28%,51%,0.7
Colton Smith,"6' 0""",155 lbs.,"71""",Orthodox,"Aug 14, 1987",1.64,41%,2.30,51%,4.09,36%,25%,1.4
Ray Sloan,"6' 1""",205 lbs.,,,"Jul 14, 1985",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Gilbert Smith,"5' 9""",185 lbs.,,Southpaw,"Oct 19, 1981",1.09,41%,2.73,35%,3.51,60%,0%,1.2
Devonte Smith,"5' 9""",155 lbs.,"76""",Orthodox,"Jul 30, 1993",5.64,55%,2.65,59%,0.74,100%,100%,0.7
Leslie Smith,"5' 9""",135 lbs.,"66""",Orthodox,"Aug 17, 1982",7.56,40%,8.41,51%,0.00,0%,62%,0.0
Cole Smith,"5' 11""",135 lbs.,"67""",Orthodox,"Apr 05, 1989",1.78,35%,1.96,49%,1.67,33%,45%,1.7
Justin Smitley,,145 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Walter Smith-Cotito,"5' 8""",135 lbs.,,,,2.95,36%,3.53,68%,2.16,33%,57%,0.0
Nate Smith,"5' 6""",125 lbs.,"69""",Switch,"Apr 09, 1995",1.28,38%,2.04,35%,0.00,0%,33%,2.3
Dmitrii Smoliakov,"6' 2""",253 lbs.,"74""",Switch,"Aug 05, 1982",1.44,42%,3.81,55%,0.00,0%,75%,0.0
Louis Smolka,"5' 9""",135 lbs.,"68""",Orthodox,"Jul 16, 1991",4.44,46%,3.74,53%,1.84,37%,31%,1.9
Richie Smullen,"5' 9""",155 lbs.,"68""",Orthodox,"Aug 17, 1991",1.98,77%,2.26,65%,8.49,66%,0%,0.0
Devin Smyth,"5' 10""",170 lbs.,"72""",Switch,"Jul 21, 1995",2.60,68%,6.73,25%,4.00,26%,100%,0.0
Denis Sobolev,"6' 3""",216 lbs.,,Orthodox,,0.00,0%,5.45,33%,0.00,0%,0%,0.0
Renato Sobral,"6' 1""",205 lbs.,"75""",Orthodox,"Sep 07, 1975",2.23,45%,1.53,57%,2.48,42%,65%,2.6
Peter Sobotta,"6' 0""",170 lbs.,"75""",Southpaw,"Jan 11, 1987",2.14,40%,2.90,58%,1.53,32%,77%,0.5
Rameau Thierry Sokoudjou,"5' 10""",205 lbs.,"78""",Orthodox,"Apr 18, 1984",2.26,45%,2.61,56%,1.93,47%,78%,0.9
Joe Solecki,"5' 9""",155 lbs.,"70""",Orthodox,"Aug 27, 1993",3.62,74%,0.93,51%,3.31,62%,0%,1.3
Chris Solomon,"5' 11""",155 lbs.,,,,0.00,0%,2.80,37%,0.00,0%,33%,0.0
Paul Song,,185 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Joe Son,"5' 4""",236 lbs.,,Orthodox,"Nov 22, 1970",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Chael Sonnen,"6' 1""",205 lbs.,"73""",Southpaw,"Apr 03, 1977",3.08,43%,1.10,62%,3.81,59%,66%,0.4
Song Kenan,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 10, 1990",4.39,46%,4.37,54%,0.00,0%,50%,0.0
Song Yadong,"5' 8""",145 lbs.,"67""",Orthodox,"Dec 02, 1997",4.35,42%,3.64,57%,0.59,75%,56%,0.4
Cody Sons,"5' 9""",205 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Jin Soo Son,"5' 6""",135 lbs.,"69""",Orthodox,"Apr 01, 1993",5.10,36%,7.63,52%,1.50,25%,100%,0.0
Emiliano Sordi,"6' 2""",205 lbs.,,Orthodox,"Feb 15, 1991",4.79,50%,4.79,48%,0.00,0%,100%,8.3
Punahele Soriano,"5' 11""",185 lbs.,"72""",Southpaw,"Nov 22, 1992",4.46,43%,2.86,52%,2.60,66%,0%,0.0
Sean Soriano,"5' 9""",145 lbs.,,Orthodox,"Oct 06, 1989",3.15,61%,2.31,52%,1.27,42%,55%,0.0
Dmitry Sosnovskiy,"6' 3""",240 lbs.,"77""",Orthodox,"Jul 06, 1989",2.95,70%,2.53,35%,3.16,66%,100%,3.2
Ben Sosoli,"6' 0""",265 lbs.,"72""",Southpaw,"Dec 10, 1989",2.31,31%,4.30,47%,0.00,0%,0%,0.0
Greg Soto,"5' 11""",170 lbs.,"73""",Orthodox,"Jun 03, 1986",3.21,63%,2.61,52%,1.49,27%,44%,1.0
George Sotiropoulos,"5' 10""",155 lbs.,"71""",Orthodox,"Jul 09, 1977",2.61,27%,2.52,67%,2.32,31%,53%,1.6
Alex Soto,"5' 8""",135 lbs.,,Southpaw,"Feb 15, 1984",2.95,25%,5.02,59%,2.82,30%,0%,0.0
Krzysztof Soszynski,"6' 1""",205 lbs.,"77""",Open Stance,"Aug 02, 1977",3.37,39%,3.13,58%,0.52,25%,71%,1.0
Mario Soto,"6' 0""",145 lbs.,,,,1.43,23%,5.23,42%,0.00,0%,0%,0.0
Joe Soto,"5' 6""",135 lbs.,"65""",Orthodox,"Mar 22, 1987",3.36,41%,5.37,67%,0.85,21%,70%,1.9
Bobby Southworth,"6' 2""",205 lbs.,,Orthodox,"Dec 16, 1969",0.99,39%,1.38,65%,3.98,78%,64%,1.3
Andre Soukhamthath,"5' 9""",135 lbs.,"70""",Orthodox,"Oct 23, 1988",2.77,44%,4.31,49%,1.25,53%,58%,0.2
Edimilson Souza,"6' 0""",145 lbs.,"74""",Orthodox,"Oct 17, 1984",4.65,44%,2.91,58%,0.00,0%,50%,0.0
Chris Spang,"6' 2""",170 lbs.,,Orthodox,"Nov 26, 1987",1.83,36%,1.95,60%,0.00,0%,50%,0.9
Mario Souza,"6' 3""",185 lbs.,"79""",Orthodox,"Oct 20, 1996",3.40,60%,0.93,54%,0.00,0%,0%,1.0
Livinha Souza,"5' 3""",115 lbs.,"63""",Orthodox,"Mar 11, 1991",2.06,45%,3.38,62%,2.40,44%,40%,1.2
Jacare Souza,"6' 1""",185 lbs.,"72""",Orthodox,"Dec 07, 1979",2.53,46%,2.85,62%,2.55,39%,60%,1.4
Charon Spain,"5' 9""",155 lbs.,,,"Mar 11, 1988",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Andreas Spang,"6' 1""",185 lbs.,,,"Nov 07, 1978",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ryan Spann,"6' 5""",205 lbs.,"79""",Orthodox,"Aug 24, 1991",3.55,45%,3.45,47%,1.72,41%,60%,1.7
Tommy Speer,"5' 10""",170 lbs.,"71""",Orthodox,"Aug 20, 1984",2.56,51%,5.12,35%,2.02,33%,33%,0.0
Patrick Speight,"6' 1""",170 lbs.,,Orthodox,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Ron Sparks,"6' 5""",265 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Sean Spencer,"5' 10""",170 lbs.,"74""",Orthodox,"Jun 25, 1987",4.24,32%,4.02,60%,0.14,33%,68%,0.0
Felicia Spencer,"5' 6""",145 lbs.,"68""",Orthodox,"Nov 29, 1990",3.02,45%,5.57,43%,0.64,10%,14%,0.3
Sam Spengler,"5' 11""",185 lbs.,,Orthodox,,3.27,62%,3.27,54%,1.75,11%,75%,1.8
Nick Sperling,,135 lbs.,,,,1.40,25%,1.40,66%,0.00,0%,0%,0.0
Mario Sperry,"6' 2""",205 lbs.,,Orthodox,"Sep 28, 1966",2.81,52%,1.53,47%,2.09,42%,71%,1.4
Waachiim Spiritwolf,"5' 8""",170 lbs.,,,,10.00,100%,10.00,0%,0.00,0%,0%,0.0
Daniel Spitz,"6' 7""",245 lbs.,"82""",Orthodox,"Jul 31, 1990",2.60,35%,5.30,46%,0.74,66%,0%,0.0
Eric Spicely,"6' 1""",185 lbs.,"73""",Orthodox,"Sep 29, 1986",3.71,45%,5.72,55%,1.31,20%,75%,1.0
Serghei Spivac,"6' 3""",260 lbs.,"78""",Orthodox,"Jan 24, 1995",3.58,49%,2.84,58%,3.70,63%,75%,0.3
Daniel Spohn,"6' 4""",205 lbs.,"79""",Southpaw,"Oct 12, 1984",2.42,49%,1.60,53%,0.00,0%,28%,2.5
Pete Spratt,"5' 9""",170 lbs.,,Orthodox,"Jan 09, 1971",1.63,48%,1.33,55%,0.30,100%,46%,0.3
Austin Springer,"5' 8""",145 lbs.,"71""",Orthodox,"May 12, 1987",3.54,57%,3.15,41%,3.37,40%,100%,0.8
Georges St-Pierre,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.40,72%,4.16,74%,83%,1.1
Andreas Stahl,"5' 11""",170 lbs.,,Orthodox,"May 20, 1988",2.83,37%,4.74,57%,1.55,66%,80%,0.0
Ron Stallings,"6' 2""",170 lbs.,"75""",Southpaw,"Jan 25, 1983",3.22,60%,3.26,51%,0.00,0%,71%,0.0
Bobby Stack,"5' 9""",155 lbs.,,Orthodox,,1.00,20%,2.89,34%,7.48,45%,100%,0.0
Cristina Stanciu,"5' 3""",115 lbs.,,Orthodox,"Mar 29, 1994",2.50,50%,3.07,52%,0.85,100%,40%,1.7
Cody Stamann,"5' 6""",145 lbs.,"64""",Orthodox,"Nov 09, 1989",4.14,48%,3.18,63%,3.03,46%,80%,0.0
Brian Stann,"6' 1""",205 lbs.,"74""",Orthodox,"Sep 24, 1980",3.28,42%,2.65,59%,0.12,12%,60%,0.3
Josh Stansbury,"6' 2""",205 lbs.,"74""",Orthodox,"Nov 19, 1984",3.22,54%,3.54,54%,0.00,0%,87%,1.0
Dion Staring,"6' 1""",235 lbs.,,Orthodox,"Jun 09, 1978",1.09,37%,5.00,47%,0.00,0%,33%,0.0
Lucas Stark,,155 lbs.,,,,1.60,25%,3.20,66%,12.00,100%,0%,0.0
Kalib Starnes,"6' 3""",185 lbs.,"74""",Orthodox,"Jan 06, 1975",2.71,48%,4.43,53%,1.46,33%,25%,0.6
Clifford Starks,"6' 0""",185 lbs.,"78""",Orthodox,"Apr 25, 1981",1.94,33%,2.49,58%,1.94,100%,60%,0.0
Damian Stasiak,"5' 5""",135 lbs.,"70""",Orthodox,"Feb 20, 1990",1.86,36%,3.10,52%,2.64,35%,43%,0.6
Adam Steele,,170 lbs.,,,,0.00,0%,0.00,0%,0.00,0%,0%,0.0
Laureano Staropoli,"6' 1""",170 lbs.,"71""",Orthodox,"Feb 27, 1993",4.40,34%,4.58,53%,0.25,20%,57%,0.0
Ricky Steele,"5' 9""",135 lbs.,"74""",Orthodox,"May 26, 1988",4.07,70%,2.93,50%,0.00,0%,91%,0.0
Dominique Steele,"5' 10""",170 lbs.,"74""",Orthodox,"Jan 27, 1988",2.32,49%,2.42,50%,2.95,42%,76%,0.0
Ray Steinbeiss,"5' 11""",170 lbs.,,Orthodox,"Sep 12, 1979",0.00,0%,0.00,100%,0.00,0%,0%,0.0
Eric Steenberg,,155 lbs.,,,"Jun 22, 1983",0.00,0%,0.00,0%,0.00,0%,0%,0.0
Steve Steinbeiss,"6' 3""",185 lbs.,"75""",Orthodox,"May 05, 1981",3.92,55%,1.86,49%,0.44,50%,58%,0.0
