R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_REV;B_REV;R_CTRL;B_CTRL;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Carlos Newton;Pete Spratt;0;0;0 of 0;1 of 2;---;50%;0 of 0;3 of 4;1 of 1;0 of 0;100%;---;1;0;0;0;1:18;0:02;0 of 0;0 of 1;0 of 0;0 of 0;0 of 0;1 of 1;0 of 0;1 of 2;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:45;3 Rnd (5-5-5);Larry Landless;November 22, 2002;Las Vegas, Nevada, USA;Welterweight Bout;Carlos Newton
Andrei Arlovski;Ian Freeman;1;0;14 of 26;1 of 11;53%;9%;14 of 26;1 of 11;0 of 0;0 of 0;---;---;0;0;0;0;0:03;0:00;7 of 19;0 of 10;0 of 0;0 of 0;7 of 7;1 of 1;10 of 22;1 of 10;4 of 4;0 of 1;0 of 0;0 of 0;KO/TKO;1;1:18;3 Rnd (5-5-5);Larry Landless;November 22, 2002;Las Vegas, Nevada, USA;Heavyweight Bout;Andrei Arlovski
Chuck Liddell;Renato Sobral;1;0;13 of 35;10 of 18;37%;55%;13 of 35;10 of 18;0 of 0;0 of 2;---;0%;0;0;0;0;0:03;0:00;12 of 33;2 of 9;1 of 2;0 of 0;0 of 0;8 of 9;12 of 34;10 of 18;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;2:55;3 Rnd (5-5-5);Larry Landless;November 22, 2002;Las Vegas, Nevada, USA;Light Heavyweight Bout;Chuck Liddell
Phillip Miller;Mark Weir;0;1;10 of 21;19 of 31;47%;61%;20 of 33;39 of 57;2 of 2;0 of 0;100%;---;1;3;1;1;6:33;2:43;6 of 17;19 of 31;4 of 4;0 of 0;0 of 0;0 of 0;0 of 0;3 of 6;0 of 0;0 of 0;10 of 21;16 of 25;Submission;2;4:50;3 Rnd (5-5-5);Nelson Hamilton;November 22, 2002;Las Vegas, Nevada, USA;Middleweight Bout;Phillip Miller
Matt Hughes;Gil Castillo;0;0;22 of 32;1 of 2;68%;50%;36 of 46;1 of 2;1 of 1;0 of 0;100%;---;0;0;0;0;4:04;0:00;14 of 24;1 of 2;6 of 6;0 of 0;2 of 2;0 of 0;4 of 8;1 of 2;0 of 0;0 of 0;18 of 24;0 of 0;TKO - Doctor's Stoppage;1;5:00;5 Rnd (5-5-5-5-5);John McCarthy;November 22, 2002;Las Vegas, Nevada, USA;UFC Welterweight Title Bout;Matt Hughes
Vladimir Matyushenko;Travis Wiuff;0;0;24 of 32;0 of 0;75%;---;56 of 66;3 of 3;2 of 3;0 of 3;66%;0%;0;1;0;0;3:16;0:03;19 of 26;0 of 0;5 of 6;0 of 0;0 of 0;0 of 0;0 of 2;0 of 0;8 of 10;0 of 0;16 of 20;0 of 0;KO/TKO;1;4:10;3 Rnd (5-5-5);John McCarthy;November 22, 2002;Las Vegas, Nevada, USA;Heavyweight Bout;Vladimir Matyushenko
Tito Ortiz;Ken Shamrock;0;0;74 of 126;12 of 44;58%;27%;155 of 214;48 of 84;3 of 5;0 of 1;60%;0%;1;0;0;0;10:27;0:01;64 of 116;8 of 39;8 of 8;3 of 4;2 of 2;1 of 1;24 of 50;5 of 28;24 of 35;7 of 16;26 of 41;0 of 0;KO/TKO;3;5:00;5 Rnd (5-5-5-5-5);John McCarthy;November 22, 2002;Las Vegas, Nevada, USA;UFC Light Heavyweight Title Bout;Tito Ortiz
Caol Uno;Din Thomas;0;0;35 of 56;11 of 24;62%;45%;85 of 112;59 of 78;0 of 0;3 of 6;---;50%;0;4;0;0;9:13;3:30;25 of 45;11 of 21;6 of 6;0 of 3;4 of 5;0 of 0;5 of 10;4 of 8;7 of 9;3 of 9;23 of 37;4 of 7;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Landless;September 27, 2002;Uncasville, Connecticut, USA;Lightweight Bout;Caol Uno
Gan McGee;Pedro Rizzo;0;0;17 of 58;14 of 28;29%;50%;17 of 58;14 of 28;0 of 3;0 of 0;0%;---;0;0;0;0;0:11;0:00;13 of 53;4 of 18;3 of 3;0 of 0;1 of 2;10 of 10;17 of 57;14 of 28;0 of 1;0 of 0;0 of 0;0 of 0;KO/TKO;1;5:00;3 Rnd (5-5-5);John McCarthy;September 27, 2002;Uncasville, Connecticut, USA;Heavyweight Bout;Gan McGee
Matt Lindland;Ivan Salaverry;0;0;16 of 63;32 of 70;25%;45%;85 of 145;50 of 89;6 of 9;0 of 2;66%;0%;0;0;0;1;7:58;0:36;14 of 58;4 of 37;0 of 2;10 of 11;2 of 3;18 of 22;6 of 43;27 of 62;4 of 8;5 of 8;6 of 12;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Kipp Kollar;September 27, 2002;Uncasville, Connecticut, USA;Middleweight Bout;Matt Lindland
Ricco Rodriguez;Randy Couture;0;0;39 of 80;39 of 78;48%;50%;128 of 172;75 of 114;4 of 5;5 of 5;80%;100%;1;0;0;1;11:05;8:50;34 of 72;32 of 70;4 of 7;5 of 6;1 of 1;2 of 2;7 of 26;9 of 26;2 of 4;5 of 8;30 of 50;25 of 44;KO/TKO;5;3:04;5 Rnd (5-5-5-5-5);John McCarthy;September 27, 2002;Uncasville, Connecticut, USA;UFC Heavyweight Title Bout;Ricco Rodriguez
Sean Sherk;Benji Radach;0;0;6 of 8;7 of 18;75%;38%;15 of 17;36 of 47;1 of 5;0 of 0;20%;---;0;0;0;0;3:08;0:07;6 of 8;6 of 14;0 of 0;1 of 4;0 of 0;0 of 0;0 of 1;4 of 10;0 of 0;3 of 8;6 of 7;0 of 0;TKO - Doctor's Stoppage;1;4:16;3 Rnd (5-5-5);Larry Landless;September 27, 2002;Uncasville, Connecticut, USA;Welterweight Bout;Sean Sherk
BJ Penn;Matt Serra;0;0;32 of 52;8 of 49;61%;16%;71 of 92;22 of 63;1 of 1;1 of 17;100%;5%;0;1;0;0;0:55;4:18;12 of 31;4 of 42;10 of 11;2 of 2;10 of 10;2 of 5;12 of 24;3 of 35;17 of 23;5 of 14;3 of 5;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;September 27, 2002;Uncasville, Connecticut, USA;Lightweight Bout;BJ Penn
Tim Sylvia;Wesley Correira;0;0;138 of 214;26 of 65;64%;40%;155 of 232;26 of 65;0 of 0;0 of 1;---;0%;0;0;0;0;0:03;0:00;115 of 186;21 of 60;13 of 17;4 of 4;10 of 11;1 of 1;91 of 155;24 of 62;47 of 59;2 of 3;0 of 0;0 of 0;KO/TKO;2;1:43;3 Rnd (5-5-5);Kipp Kollar;September 27, 2002;Uncasville, Connecticut, USA;Heavyweight Bout;Tim Sylvia
Phil Baroni;Dave Menne;1;0;8 of 13;1 of 7;61%;14%;8 of 13;1 of 7;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;8 of 13;0 of 6;0 of 0;0 of 0;0 of 0;1 of 1;8 of 13;1 of 7;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:18;3 Rnd (5-5-5);Larry Landless;September 27, 2002;Uncasville, Connecticut, USA;Middleweight Bout;Phil Baroni
Ian Freeman;Frank Mir;0;0;34 of 44;6 of 10;77%;60%;60 of 70;6 of 10;0 of 0;1 of 5;---;20%;0;3;1;0;2:57;0:15;28 of 38;1 of 4;5 of 5;3 of 4;1 of 1;2 of 2;3 of 6;4 of 8;11 of 11;2 of 2;20 of 27;0 of 0;KO/TKO;1;4:35;3 Rnd (5-5-5);John McCarthy;July 13, 2002;London, England, United Kingdom;Heavyweight Bout;Ian Freeman
Renato Sobral;Elvis Sinosic;0;0;42 of 90;7 of 20;46%;35%;117 of 174;79 of 99;4 of 4;0 of 1;100%;0%;0;0;0;0;12:58;0:03;36 of 83;3 of 15;2 of 2;3 of 3;4 of 5;1 of 2;9 of 18;6 of 18;0 of 0;0 of 0;33 of 72;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;July 13, 2002;London, England, United Kingdom;Light Heavyweight Bout;Renato Sobral
Matt Hughes;Carlos Newton;0;0;58 of 77;3 of 9;75%;33%;104 of 123;8 of 14;4 of 6;0 of 1;66%;0%;1;1;0;1;16:17;0:52;47 of 65;3 of 9;11 of 12;0 of 0;0 of 0;0 of 0;0 of 5;1 of 6;1 of 1;0 of 1;57 of 71;2 of 2;KO/TKO;4;3:37;5 Rnd (5-5-5-5-5);John McCarthy;July 13, 2002;London, England, United Kingdom;UFC Welterweight Title Bout;Matt Hughes
Phillip Miller;James Zikic;0;0;30 of 53;29 of 66;56%;43%;82 of 114;55 of 93;4 of 22;0 of 1;18%;0%;0;1;0;0;9:43;2:46;24 of 45;20 of 56;4 of 6;8 of 9;2 of 2;1 of 1;8 of 14;8 of 25;7 of 11;11 of 18;15 of 28;10 of 23;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Landless;July 13, 2002;London, England, United Kingdom;Light Heavyweight Bout;Phillip Miller
Mark Weir;Eugene Jackson;1;0;4 of 6;0 of 1;66%;0%;4 of 6;0 of 1;0 of 0;0 of 0;---;---;0;0;0;0;0:01;0:00;4 of 6;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;1 of 2;0 of 1;0 of 0;0 of 0;3 of 4;0 of 0;KO/TKO;1;0:10;3 Rnd (5-5-5);Larry Landless;July 13, 2002;London, England, United Kingdom;Middleweight Bout;Mark Weir
Genki Sudo;Leigh Remedios;0;0;9 of 29;5 of 12;31%;41%;17 of 37;32 of 42;2 of 3;0 of 0;66%;---;3;0;0;0;3:31;1:25;8 of 21;1 of 7;0 of 1;1 of 1;1 of 7;3 of 4;3 of 18;3 of 9;0 of 2;2 of 3;6 of 9;0 of 0;Submission;2;1:38;3 Rnd (5-5-5);John McCarthy;July 13, 2002;London, England, United Kingdom;Lightweight Bout;Genki Sudo
Evan Tanner;Chris Haseman;0;0;70 of 98;14 of 20;71%;70%;131 of 161;49 of 56;3 of 5;0 of 0;60%;---;0;2;0;0;13:49;0:14;47 of 71;3 of 8;21 of 23;6 of 6;2 of 4;5 of 6;7 of 9;5 of 9;10 of 13;5 of 7;53 of 76;4 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Landless;July 13, 2002;London, England, United Kingdom;Light Heavyweight Bout;Evan Tanner
Chuck Liddell;Vitor Belfort;1;0;43 of 78;20 of 42;55%;47%;59 of 95;26 of 49;0 of 0;3 of 4;---;75%;0;0;0;0;3:34;2:06;7 of 38;12 of 32;5 of 7;0 of 1;31 of 33;8 of 9;20 of 53;14 of 34;17 of 18;3 of 3;6 of 7;3 of 5;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 22, 2002;Las Vegas, Nevada, USA;Light Heavyweight Bout;Chuck Liddell
Robbie Lawler;Steve Berger;1;0;28 of 51;11 of 37;54%;29%;39 of 62;28 of 54;1 of 1;1 of 3;100%;33%;0;0;0;0;2:02;0:26;16 of 39;2 of 26;12 of 12;8 of 10;0 of 0;1 of 1;3 of 14;0 of 16;17 of 23;11 of 21;8 of 14;0 of 0;KO/TKO;2;0:27;3 Rnd (5-5-5);John McCarthy;June 22, 2002;Las Vegas, Nevada, USA;Welterweight Bout;Robbie Lawler
Yves Edwards;Joao Pierini;0;0;6 of 9;1 of 7;66%;14%;6 of 9;1 of 7;0 of 0;0 of 0;---;---;0;0;0;0;0:09;0:00;3 of 6;1 of 7;0 of 0;0 of 0;3 of 3;0 of 0;5 of 6;1 of 7;0 of 0;0 of 0;1 of 3;0 of 0;KO/TKO;1;1:19;3 Rnd (5-5-5);Cecil Peoples;June 22, 2002;Las Vegas, Nevada, USA;Lightweight Bout;Yves Edwards
Pete Spratt;Zach Light;0;0;3 of 5;2 of 5;60%;40%;5 of 7;13 of 16;0 of 0;1 of 1;---;100%;1;0;0;0;0:03;2:03;1 of 3;2 of 5;2 of 2;0 of 0;0 of 0;0 of 0;2 of 4;1 of 1;1 of 1;0 of 0;0 of 0;1 of 4;Submission;1;2:25;3 Rnd (5-5-5);Kipp Kollar;June 22, 2002;Las Vegas, Nevada, USA;Welterweight Bout;Pete Spratt
Tony Fryklund;Rodrigo Ruas;1;0;60 of 102;11 of 31;58%;35%;127 of 174;19 of 42;0 of 0;0 of 0;---;---;1;0;0;0;6:55;0:04;52 of 93;5 of 25;6 of 6;0 of 0;2 of 3;6 of 6;6 of 17;9 of 24;5 of 7;2 of 7;49 of 78;0 of 0;KO/TKO;2;3:34;3 Rnd (5-5-5);Kipp Kollar;June 22, 2002;Las Vegas, Nevada, USA;Middleweight Bout;Tony Fryklund
Benji Radach;Nick Serra;1;0;26 of 46;0 of 8;56%;0%;67 of 92;23 of 31;0 of 0;1 of 10;---;10%;0;2;0;0;10:14;1:44;24 of 43;0 of 8;2 of 3;0 of 0;0 of 0;0 of 0;3 of 9;0 of 8;2 of 2;0 of 0;21 of 35;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;June 22, 2002;Las Vegas, Nevada, USA;Welterweight Bout;Benji Radach
Benji Radach;Steve Berger;1;0;10 of 12;0 of 2;83%;0%;10 of 12;0 of 2;0 of 0;0 of 0;---;---;0;0;0;0;0:13;0:00;10 of 12;0 of 2;0 of 0;0 of 0;0 of 0;0 of 0;1 of 1;0 of 2;0 of 0;0 of 0;9 of 11;0 of 0;Overturned;1;0:27;3 Rnd (5-5-5);John McCarthy;May 10, 2002;Bossier City, Louisiana, USA;Welterweight Bout;
Caol Uno;Yves Edwards;0;0;19 of 32;13 of 23;59%;56%;58 of 81;30 of 42;3 of 6;1 of 1;50%;100%;1;1;2;0;6:48;3:50;8 of 19;5 of 14;2 of 3;3 of 4;9 of 10;5 of 5;6 of 13;5 of 10;6 of 8;7 of 11;7 of 11;1 of 2;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Landless;May 10, 2002;Bossier City, Louisiana, USA;Lightweight Bout;Caol Uno
Robbie Lawler;Aaron Riley;1;0;64 of 153;55 of 130;41%;42%;87 of 176;93 of 170;6 of 8;0 of 3;75%;0%;0;1;0;0;4:29;1:26;52 of 137;18 of 83;9 of 11;18 of 20;3 of 5;19 of 27;34 of 94;31 of 83;21 of 41;24 of 47;9 of 18;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;May 10, 2002;Bossier City, Louisiana, USA;Welterweight Bout;Robbie Lawler
Murilo Bustamante;Matt Lindland;1;0;17 of 40;35 of 66;42%;53%;39 of 62;82 of 113;2 of 2;0 of 3;100%;0%;2;1;0;1;3:11;4:57;15 of 38;6 of 35;2 of 2;9 of 10;0 of 0;20 of 21;7 of 13;7 of 28;2 of 5;25 of 33;8 of 22;3 of 5;Submission;3;1:33;5 Rnd (5-5-5-5-5);John McCarthy;May 10, 2002;Bossier City, Louisiana, USA;UFC Middleweight Title Bout;Murilo Bustamante
Phil Baroni;Amar Suloev;0;0;11 of 23;9 of 15;47%;60%;19 of 33;9 of 15;0 of 2;1 of 1;0%;100%;0;1;0;0;0:51;0:03;10 of 19;7 of 13;0 of 1;0 of 0;1 of 3;2 of 2;4 of 14;7 of 13;0 of 0;0 of 0;7 of 9;2 of 2;KO/TKO;1;2:59;3 Rnd (5-5-5);John McCarthy;May 10, 2002;Bossier City, Louisiana, USA;Middleweight Bout;Phil Baroni
Ivan Salaverry;Andrei Semenov;0;0;43 of 72;5 of 46;59%;10%;156 of 190;5 of 46;2 of 2;1 of 2;100%;50%;8;1;0;0;5:55;1:45;20 of 39;3 of 40;6 of 9;0 of 1;17 of 24;2 of 5;26 of 45;5 of 44;4 of 7;0 of 1;13 of 20;0 of 1;KO/TKO;3;2:27;3 Rnd (5-5-5);Mason White;May 10, 2002;Bossier City, Louisiana, USA;Middleweight Bout;Ivan Salaverry
Ricco Rodriguez;Tsuyoshi Kohsaka;0;0;19 of 33;6 of 11;57%;54%;58 of 77;27 of 33;3 of 5;1 of 1;60%;100%;1;0;0;0;7:10;0:33;18 of 30;3 of 8;1 of 3;2 of 2;0 of 0;1 of 1;0 of 3;1 of 2;1 of 1;3 of 7;18 of 29;2 of 2;KO/TKO;2;3:25;3 Rnd (5-5-5);John McCarthy;May 10, 2002;Bossier City, Louisiana, USA;Heavyweight Bout;Ricco Rodriguez
BJ Penn;Paul Creighton;0;0;39 of 56;6 of 8;69%;75%;91 of 108;8 of 10;0 of 0;3 of 8;---;37%;0;0;0;0;3:28;1:46;17 of 32;2 of 4;14 of 14;4 of 4;8 of 10;0 of 0;2 of 7;1 of 3;20 of 21;4 of 4;17 of 28;1 of 1;KO/TKO;2;3:23;3 Rnd (5-5-5);Larry Landless;May 10, 2002;Bossier City, Louisiana, USA;Lightweight Bout;BJ Penn
Evan Tanner;Elvis Sinosic;0;0;7 of 13;4 of 8;53%;50%;12 of 18;7 of 11;0 of 0;0 of 0;---;---;0;0;0;0;1:43;0:00;5 of 10;0 of 4;2 of 3;2 of 2;0 of 0;2 of 2;0 of 4;2 of 5;2 of 3;2 of 3;5 of 6;0 of 0;TKO - Doctor's Stoppage;1;2:06;3 Rnd (5-5-5);Mason White;March 22, 2002;Las Vegas, Nevada, USA;Light Heavyweight Bout;Evan Tanner
Pedro Rizzo;Andrei Arlovski;1;0;27 of 80;38 of 95;33%;40%;27 of 80;38 of 95;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;10 of 55;10 of 48;1 of 1;1 of 1;16 of 24;27 of 46;26 of 79;37 of 93;1 of 1;1 of 2;0 of 0;0 of 0;KO/TKO;3;1:45;3 Rnd (5-5-5);Larry Landless;March 22, 2002;Las Vegas, Nevada, USA;Heavyweight Bout;Pedro Rizzo
Matt Serra;Kelly Dullanty;0;0;2 of 8;0 of 1;25%;0%;14 of 20;17 of 21;1 of 3;0 of 0;33%;---;3;0;0;0;2:22;0:11;2 of 8;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;0 of 2;0 of 0;0 of 0;0 of 1;2 of 6;0 of 0;Submission;1;2:58;3 Rnd (5-5-5);Larry Landless;March 22, 2002;Las Vegas, Nevada, USA;Lightweight Bout;Matt Serra
Frank Mir;Pete Williams;0;0;4 of 6;0 of 1;66%;0%;4 of 6;0 of 1;0 of 0;1 of 1;---;100%;1;0;0;0;0:02;0:19;1 of 3;0 of 1;1 of 1;0 of 0;2 of 2;0 of 0;4 of 6;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;0:46;3 Rnd (5-5-5);John McCarthy;March 22, 2002;Las Vegas, Nevada, USA;Heavyweight Bout;Frank Mir
Matt Hughes;Hayato Sakurai;0;1;36 of 58;5 of 12;62%;41%;112 of 137;14 of 22;9 of 11;0 of 0;81%;---;0;0;0;0;15:52;0:00;34 of 56;4 of 11;2 of 2;0 of 0;0 of 0;1 of 1;8 of 12;5 of 12;1 of 1;0 of 0;27 of 45;0 of 0;KO/TKO;4;3:01;5 Rnd (5-5-5-5-5);John McCarthy;March 22, 2002;Las Vegas, Nevada, USA;UFC Welterweight Title Bout;Matt Hughes
Sean Sherk;Jutaro Nakao;0;0;21 of 30;4 of 20;70%;20%;227 of 241;8 of 24;7 of 14;0 of 0;50%;---;0;0;0;0;12:10;0:02;16 of 25;1 of 13;1 of 1;2 of 6;4 of 4;1 of 1;2 of 6;2 of 14;5 of 6;2 of 6;14 of 18;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mason White;March 22, 2002;Las Vegas, Nevada, USA;Welterweight Bout;Sean Sherk
Josh Barnett;Randy Couture;0;0;44 of 75;18 of 21;58%;85%;53 of 85;33 of 37;0 of 0;1 of 3;---;33%;1;0;0;0;1:55;7:18;31 of 60;13 of 15;12 of 13;4 of 5;1 of 2;1 of 1;0 of 2;0 of 1;13 of 15;8 of 8;31 of 58;10 of 12;KO/TKO;2;4:35;5 Rnd (5-5-5-5-5);John McCarthy;March 22, 2002;Las Vegas, Nevada, USA;UFC Heavyweight Title Bout;Josh Barnett
Matt Lindland;Pat Miletich;0;0;20 of 40;1 of 2;50%;50%;62 of 85;1 of 2;1 of 1;0 of 0;100%;---;0;0;0;0;2:50;0:00;19 of 39;0 of 1;1 of 1;1 of 1;0 of 0;0 of 0;0 of 2;1 of 2;0 of 0;0 of 0;20 of 38;0 of 0;KO/TKO;1;3:09;3 Rnd (5-5-5);Larry Landless;March 22, 2002;Las Vegas, Nevada, USA;Middleweight Bout;Matt Lindland
Eugene Jackson;Keith Rockel;0;0;1 of 3;6 of 10;33%;60%;44 of 47;21 of 25;0 of 1;2 of 2;0%;100%;1;2;0;0;0:04;5:31;1 of 3;4 of 8;0 of 0;1 of 1;0 of 0;1 of 1;1 of 3;2 of 2;0 of 0;0 of 0;0 of 0;4 of 8;Submission;2;1:14;3 Rnd (5-5-5);Larry Landless;January 11, 2002;Uncasville, Connecticut, USA;Middleweight Bout;Eugene Jackson
Chuck Liddell;Amar Suloev;0;0;46 of 144;26 of 69;31%;37%;46 of 144;26 of 69;0 of 0;0 of 0;---;---;0;0;0;0;0:00;0:00;17 of 107;14 of 53;0 of 1;2 of 5;29 of 36;10 of 11;44 of 141;26 of 69;2 of 3;0 of 0;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Larry Landless;January 11, 2002;Uncasville, Connecticut, USA;Light Heavyweight Bout;Chuck Liddell
Gil Castillo;Chris Brennan;0;0;17 of 33;8 of 23;51%;34%;120 of 150;97 of 115;3 of 3;0 of 2;100%;0%;0;1;0;0;13:02;0:08;16 of 32;2 of 14;0 of 0;4 of 5;1 of 1;2 of 4;5 of 7;3 of 17;0 of 0;4 of 5;12 of 26;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mason White;January 11, 2002;Uncasville, Connecticut, USA;Welterweight Bout;Gil Castillo
Ricco Rodriguez;Jeff Monson;0;0;42 of 65;7 of 20;64%;35%;100 of 126;45 of 60;3 of 4;2 of 6;75%;33%;1;0;0;0;6:40;3:56;26 of 47;2 of 13;14 of 15;2 of 3;2 of 3;3 of 4;7 of 19;2 of 11;18 of 24;5 of 9;17 of 22;0 of 0;KO/TKO;3;3:00;3 Rnd (5-5-5);Larry Landless;January 11, 2002;Uncasville, Connecticut, USA;Heavyweight Bout;Ricco Rodriguez
Murilo Bustamante;Dave Menne;1;0;9 of 12;14 of 33;75%;42%;14 of 17;23 of 42;2 of 7;0 of 0;28%;---;0;0;0;0;3:07;0:00;8 of 11;3 of 20;1 of 1;5 of 5;0 of 0;6 of 8;4 of 5;7 of 25;1 of 3;7 of 8;4 of 4;0 of 0;KO/TKO;2;0:44;5 Rnd (5-5-5-5-5);John McCarthy;January 11, 2002;Uncasville, Connecticut, USA;UFC Middleweight Title Bout;Murilo Bustamante
Jens Pulver;BJ Penn;0;0;38 of 98;49 of 93;38%;52%;122 of 186;161 of 210;1 of 1;7 of 10;100%;70%;0;2;4;0;8:21;6:24;28 of 88;35 of 76;5 of 5;5 of 7;5 of 5;9 of 10;22 of 70;39 of 78;3 of 3;3 of 4;13 of 25;7 of 11;Decision - Majority;5;5:00;5 Rnd (5-5-5-5-5);John McCarthy;January 11, 2002;Uncasville, Connecticut, USA;UFC Lightweight Title Bout;Jens Pulver
Kevin Randleman;Renato Sobral;0;0;18 of 39;2 of 3;46%;66%;72 of 100;24 of 26;1 of 1;0 of 0;100%;---;0;5;0;0;12:47;0:00;18 of 39;1 of 2;0 of 0;0 of 0;0 of 0;1 of 1;0 of 0;0 of 1;0 of 0;1 of 1;18 of 39;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);John McCarthy;January 11, 2002;Uncasville, Connecticut, USA;Light Heavyweight Bout;Kevin Randleman
Andrei Semenov;Ricardo Almeida;1;0;5 of 29;12 of 35;17%;34%;35 of 59;12 of 35;0 of 0;1 of 4;---;25%;0;5;0;0;2:27;0:45;5 of 29;6 of 29;0 of 0;1 of 1;0 of 0;5 of 5;3 of 22;7 of 28;1 of 2;5 of 7;1 of 5;0 of 0;KO/TKO;2;2:01;3 Rnd (5-5-5);Mason White;January 11, 2002;Uncasville, Connecticut, USA;Middleweight Bout;Andrei Semenov
BJ Penn;Caol Uno;1;0;5 of 6;0 of 1;83%;0%;5 of 6;0 of 1;1 of 1;0 of 0;100%;---;0;0;0;0;0:02;0:00;5 of 6;0 of 1;0 of 0;0 of 0;0 of 0;0 of 0;1 of 2;0 of 1;0 of 0;0 of 0;4 of 4;0 of 0;KO/TKO;1;0:11;3 Rnd (5-5-5);Larry Landless;November 02, 2001;Las Vegas, Nevada, USA;Lightweight Bout;BJ Penn
Matt Lindland;Phil Baroni;0;1;71 of 94;32 of 54;75%;59%;215 of 242;80 of 103;4 of 9;0 of 1;44%;0%;0;2;1;2;10:23;2:28;49 of 69;25 of 47;9 of 11;6 of 6;13 of 14;1 of 1;12 of 20;4 of 13;26 of 32;19 of 27;33 of 42;9 of 14;Decision - Majority;3;5:00;3 Rnd (5-5-5);John McCarthy;November 02, 2001;Las Vegas, Nevada, USA;Middleweight Bout;Matt Lindland
Matt Hughes;Carlos Newton;0;0;8 of 14;2 of 7;57%;28%;14 of 20;18 of 23;4 of 4;0 of 0;100%;---;1;1;0;2;4:04;1:33;7 of 13;0 of 5;1 of 1;2 of 2;0 of 0;0 of 0;0 of 1;0 of 4;2 of 2;2 of 3;6 of 11;0 of 0;KO/TKO;2;1:27;5 Rnd (5-5-5-5-5);John McCarthy;November 02, 2001;Las Vegas, Nevada, USA;UFC Welterweight Title Bout;Matt Hughes
Evan Tanner;Homer Moore;0;0;4 of 4;4 of 8;100%;50%;6 of 7;12 of 16;0 of 0;2 of 3;---;66%;4;0;0;0;0:00;4:33;2 of 2;4 of 8;0 of 0;0 of 0;2 of 2;0 of 0;3 of 3;2 of 3;1 of 1;0 of 0;0 of 0;2 of 5;Submission;2;0:55;3 Rnd (5-5-5);Mario Yamasaki;November 02, 2001;Las Vegas, Nevada, USA;Light Heavyweight Bout;Evan Tanner
Ricco Rodriguez;Pete Williams;0;0;26 of 43;4 of 6;60%;66%;86 of 107;10 of 13;5 of 6;0 of 0;83%;---;1;1;1;0;7:16;0:46;24 of 41;1 of 3;2 of 2;2 of 2;0 of 0;1 of 1;1 of 4;1 of 3;1 of 1;0 of 0;24 of 38;3 of 3;KO/TKO;2;4:02;3 Rnd (5-5-5);Mario Yamasaki;November 02, 2001;Las Vegas, Nevada, USA;Heavyweight Bout;Ricco Rodriguez
Randy Couture;Pedro Rizzo;0;0;41 of 52;13 of 34;78%;38%;98 of 111;20 of 42;3 of 5;1 of 1;60%;100%;0;0;0;0;5:48;0:03;27 of 38;8 of 28;1 of 1;1 of 1;13 of 13;4 of 5;18 of 26;9 of 30;4 of 4;4 of 4;19 of 22;0 of 0;KO/TKO;3;3:22;5 Rnd (5-5-5-5-5);John McCarthy;November 02, 2001;Las Vegas, Nevada, USA;UFC Heavyweight Title Bout;Randy Couture
Josh Barnett;Bobby Hoffman;0;0;17 of 20;6 of 14;85%;42%;83 of 88;21 of 31;2 of 2;1 of 2;100%;50%;1;1;0;1;5:28;3:22;12 of 15;3 of 10;3 of 3;1 of 2;2 of 2;2 of 2;1 of 2;1 of 2;4 of 4;2 of 3;12 of 14;3 of 9;KO/TKO;2;4:25;3 Rnd (5-5-5);John McCarthy;November 02, 2001;Las Vegas, Nevada, USA;Heavyweight Bout;Josh Barnett
